Site,Depth,Width,Flow,Alkalinity,pH,Conductivity,NO2NO3,NH4,PO4,Temperature,Oxygen,Arable,Forest,Fine_sediment,Medium_sediment,Coarse_sediment,logTU_ms,Tree cover,Shrub cover,Immersed plants,Submersed plants,Leaves_and_woods,Woods,SPEAR_reduced
1,0.206714286,2.13,0.05,3.616,7.98,47.3,1430,31,39,15.275,9.39333333333333,60.4792837446809,31.7352655474383,70,15,15,-2.22,4,5,3,0,1,0,0.69
2,0.100535714,2.1625,0.315,4.671,7.66,72,5370,280,578,14.55,8.7825,95.6863280379007,0.665008770166738,75,20,5,-1.40,0,2,1,1,1,0,0.31
3,0.210178571,1.4375,0.185,2.734,7.61,34.9,1950,22,70,15.225,9.58,31.1585539109912,49.1383515694538,35,15,50,-2.94,4,3,0,0,1,0,0.36
4,0.074553571,2.5575,0.195,3.92,8.01,54.1,1920,18,105,15,10.0433333333333,78.3678797000833,13.8819195721744,75,15,10,-4.36,1.5,1.5,0,1,1,0,0.13
5,0.117083333,1.775,0.3075,1.643,7.41,31.2,1190,196,61,13.325,11.5333333333333,8.50801058365759,73.5979696406744,25,30,35,-3.03,2,0,0,0,1,1,0.72
6,0.219555556,2.175,0.0825,3.67,7.51,44.6,940,68,48,16.4,4.92,73.3111242597265,3.22916903046289,90,5,5,-2.14,0,2.5,1,4,1,0,0.38
7,0.086,1.475,0.25,4.527,7.36,54.1,1020,44,20,14.05,10.7975,37.135847826087,42.0533853208498,10,40,50,-3.42,2.5,2.5,1,0,1,0,0.39
8,0.205916667,1.675,0.1,4.562,7.57,57.3,4680,44,221,15.15,6.8275,67.3911143233578,8.64589630178355,40,40,20,-5.83,2,3,3,0,0,0,0.46
9,0.231006944,2.8725,0.135,3.812,7.73,54.1,3330,99,291,14.9,13.9533333333333,93.2695467361648,0.990303048760028,20,70,10,-1.81,0.5,4,1,4,1,0,0.34
10,0.118993056,2.995,0.1325,2.339,7.59,28,479,18,22,17.125,6.33,81.2597683191272,7.3701926638118,35,55,10,-1.63,3.5,1.5,1,0,1,1,0.48
11,0.212,1.56,0.0375,2.78,7.6,41.2,1470,44,7,12.4,12.425,94.1966625820569,0.0000000001,85,15,0,-1.64,1.5,4,0,1,1,0,0
12,0.1785,1.6875,0.345,3.415,7.92,56,3040,36,7,16.475,15.19,80.9979416475569,14.7759752067031,25,55,20,-1.11,4,3.5,1,1,1,0,0.25
13,0.244946429,1.825,0.44,5.025,7.97,61.5,2220,12,9,11.975,10.3475,66.9511761989676,9.12956244707649,35,15,50,-3.10,3.5,2,1,0,1,1,0.67
14,0.336815476,2.6175,0.2325,4.011,7.75,58.6,5950,70,59,14.675,10.99,78.1704839420843,9.17711508469284,70,20,10,-2.79,0,2,0,2,0,0,0.63
15,0.172035985,3.1425,0.225,5.055,8,70,1390,34,48,14.25,11.785,31.6524414545991,57.6016817788301,85,10,5,-3.48,4,4,1,1,1,1,0.6
16,0.2495,2,0.3125,4.546,7.97,119,2256,44,85,14.3,13.5075,59.9370418557485,21.9209279584282,40,40,20,-3.25,0.5,5,1,1,1,1,0.6
17,0.245166667,4.7625,0.29,3.555,7.84,45.6,1420,53,95,13.45,13.15,73.082249921775,9.22348531491964,25,60,15,-1.66,0,5,2,1,1,0,0.33
18,0.130642857,2.2,0.2975,3.49,7.69,42.1,565,35,61,15.475,12.4975,97.0546889600238,0.603460928766471,30,40,30,-1.58,0.5,5,4,1,1,0,0.25